meeting_date,ffr_spot,ffr_current,ffr_1y,ffr_2y,ffr_long,dispersion_std
2012-01-25,0.08193548387096775,0.25,0.25,0.75,4.25,1.6528260374384847
2012-04-25,0.13933333333333334,0.25,0.25,0.5,4.25,1.6247336240228645
2012-06-20,0.16166666666666668,0.25,0.25,0.25,4.0,1.5856655322152278
2012-12-12,0.16451612903225807,0.25,0.25,0.25,4.0,1.5642650695314502
2013-03-20,0.1435483870967742,0.25,0.25,1.0,4.0,1.6293225059069327
2013-06-19,0.09366666666666666,0.25,0.25,1.0,4.0,1.575874202271565
2013-09-18,0.08,0.25,0.25,1.0,4.0,1.5017579087885624
2013-12-18,0.08516129032258064,0.25,0.25,0.75,4.0,1.4866301504248627
2014-03-19,0.07806451612903226,0.25,1.0,2.25,4.0,1.4819676202075909
2014-06-18,0.09566666666666666,0.25,1.125,2.5,3.75,1.4743079679547961
2014-09-17,0.08833333333333333,0.125,1.375,2.875,3.75,1.5115429569571102
2014-12-17,0.12258064516129032,0.125,1.125,2.5,3.75,1.5070695572929045
2015-03-18,0.11290322580645161,0.625,1.875,3.125,3.75,1.2446291949125732
2015-06-17,0.129,0.625,1.625,2.875,3.75,1.2846871358354022
2015-09-17,0.136,0.375,1.375,2.625,3.5,1.2623524614877657
2015-12-16,0.24064516129032257,0.375,1.375,2.375,3.5,1.2065224269701773
2016-03-16,0.362258064516129,0.875,1.875,3.0,3.25,0.9453749416378755
2016-06-15,0.37766666666666665,0.875,1.625,2.375,3.0,0.9546625566214092
2016-09-21,0.39633333333333337,0.625,1.125,1.875,2.875,0.958199302961034
2016-12-14,0.54,0.625,1.375,2.125,3.0,0.9857201715806561
2017-03-15,0.7861290322580645,1.375,2.125,3.0,3.0,0.7907851235361907
2017-06-14,1.04,1.375,2.125,2.9375,3.0,0.7440238091428449
2017-09-20,1.153333333333333,,,,,0.7363428339486403
2017-12-13,1.3016129032258066,,,,,0.7483558328038792
2018-03-21,1.5061290322580645,,,,,0.6307442150875564
2018-06-13,1.8196666666666665,,,,,0.5607166742115559
2018-09-26,1.9546666666666668,2.375,3.125,3.375,3.0,0.5053838090243598
2018-12-19,2.274193548387097,2.375,2.875,3.125,2.75,0.372154738865252
2019-03-20,2.4051612903225807,,,,,
2019-06-19,2.377666666666667,2.375,2.125,2.375,2.5,0.3786164445959947
2019-09-18,2.043,1.875,1.875,2.125,2.5,0.3902868434280884
2019-12-11,1.550967741935484,1.625,1.625,1.875,2.5,0.4174816646686021
2020-01-29,1.5506451612903225,,,,,
2020-06-10,0.07766666666666668,0.125,0.125,0.125,2.5,1.0139852428028548
2020-09-16,0.09,0.125,0.125,0.125,2.5,0.9335790549809334
2020-12-16,0.09,,,,,0.9307283309584774
2021-03-17,0.06967741935483872,0.125,0.125,0.125,2.5,0.9893614326602932
2021-06-16,0.078,,,,,0.9731759931217856
2021-09-22,0.07933333333333333,,,,,0.9384292936602074
2021-12-15,0.07967741935483871,,,,,0.931199899794399
2022-03-16,0.2009677419354839,,,,,0.525730005132673
2022-06-15,1.2049999999999998,,,,,0.589528532050121
2022-09-21,2.555,,,,,0.8671721902337001
2022-12-14,4.104193548387097,4.375,5.125,4.125,2.5,1.0347017984872096
2023-03-22,4.6490322580645165,5.125,4.25,3.125,2.5,1.1479656285397524
2023-06-14,5.076333333333333,5.625,4.625,3.375,2.5,1.2276871874351472
2023-09-20,5.33,5.63,5.13,3.88,2.5,0.45
2023-12-13,5.33,5.4,4.63,3.63,2.5,0.4
2024-03-20,5.33,5.4,4.63,3.75,2.56,0.42
2024-06-12,5.33,5.25,4.13,3.13,2.75,0.5
2024-09-18,5.13,4.38,3.38,2.88,2.88,0.55
2024-12-18,4.47516129032258,4.38,3.88,3.38,3.0,0.45
2025-03-19,4.33,4.38,3.88,3.38,3.0,0.4
2025-06-18,4.33,4.38,3.63,3.13,3.0,0.38
2025-09-17,4.224666666666667,4.13,3.38,3.13,3.0,0.35
2025-12-10,3.7206451612903226,4.38,3.63,3.38,3.0,0.4
2026-03-18,3.64,4.25,3.63,3.25,3.0,0.38
