


                           FOREIGN PURCHASES AND SALES OF LONG-TERM DOMESTIC AND FOREIGN SECURITIES BY TYPE
       Data column titles correspond to column titles in Treasury Bulletin Table CM-VI-4, excluding CM-VI-4 columns (1) and (8).
                                                    All Countries and IROs (99996)
                                                  All amounts in millions of dollars.


                  <------------Gross Purchases by Foreigners------------>     <--------------Gross Sales by Foreigners-------------->
                  <-----------------from U.S. Residents----------------->     <------------------to U.S. Residents------------------>

                   U.S.      U.S.                                              U.S.      U.S.
                Treasury    Gov't      U.S.      U.S.                       Treasury    Gov't      U.S.      U.S.
Cntry            Bonds &   Agency     Corp.     Corp.    Foreign   Foreign   Bonds &   Agency     Corp.     Corp.    Foreign   Foreign
Code    Year-Mo   Notes     Bonds     Bonds    Stocks     Bonds    Stocks     Notes     Bonds     Bonds    Stocks     Bonds    Stocks
-----   ------- --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- ---------
99996   2023-01 2,013,010    99,303   170,298 2,203,544 1,894,461   576,790 1,962,067    93,424   167,876 2,231,065 1,886,340   584,779
99996   2022-12 1,640,825   114,602   153,494 2,512,386 1,525,425   625,136 1,620,847   100,655   139,115 2,457,406 1,495,776   605,314
99996   2022-11 1,936,713   118,559   180,586 2,603,147 1,835,847   598,442 1,882,504    96,562   159,077 2,560,240 1,807,234   596,161
99996   2022-10 1,851,099   131,462   160,700 2,374,136 1,677,646   494,188 1,789,192   107,215   158,805 2,398,505 1,666,686   500,990
99996   2022-09 2,042,012   126,686   180,370 2,460,113 1,948,280   517,412 1,981,582    98,418   174,847 2,460,942 1,936,631   504,796
99996   2022-08 2,460,698   116,798   183,556 2,391,818 1,781,059   521,229 2,285,536    98,269   174,052 2,419,212 1,757,496   522,325
99996   2022-07 1,672,877   119,783   165,417 2,012,280 1,650,961   479,973 1,649,858    97,166   156,633 2,072,599 1,614,823   488,885
99996   2022-06 2,025,331   306,002   194,736 2,710,400 1,558,462   648,716 1,966,433   282,284   180,744 2,735,764 1,525,679   630,981
99996   2022-05 2,416,831   320,381   204,690 2,962,272 1,682,411   602,874 2,316,967   283,098   200,228 2,971,422 1,669,255   593,229
99996   2022-04 1,960,674   377,103   208,496 2,518,247 1,475,461   562,976 1,962,063   340,389   186,037 2,525,129 1,446,230   555,493
99996   2022-03 2,771,982   397,474   276,634 3,272,777 1,873,715   848,197 2,723,028   365,082   243,217 3,367,199 1,866,370   852,232
99996   2022-02 2,435,692   445,664   195,421 2,686,492 1,399,828   616,571 2,357,317   424,387   175,094 2,711,866 1,364,485   601,533
99996   2022-01 2,326,066   397,572   179,476 2,840,691 1,273,443   637,272 2,251,447   374,938   171,840 2,891,319 1,250,228   656,162
99996   2021-12 1,948,968   368,531   161,170 3,192,787 1,052,617   687,950 1,904,766   362,281   165,185 3,162,337 1,020,111   682,829
99996   2021-11 2,548,327   390,276   205,040 2,690,540 1,676,551   663,444 2,482,272   370,725   195,215 2,682,188 1,648,673   657,199
99996   2021-10 2,122,388   407,251   230,478 2,322,441 1,582,306   613,024 2,165,910   375,991   218,483 2,344,268 1,549,009   617,160
99996   2021-09 2,027,266   464,027   221,513 2,611,532 1,637,201   674,906 2,025,902   441,301   220,421 2,622,483 1,615,123   684,565
99996   2021-08 2,288,041   457,141   213,470 2,315,323 1,424,571   628,630 2,255,616   439,105   198,667 2,306,690 1,405,915   641,740
99996   2021-07 1,792,198   425,832   199,936 2,304,579 1,626,006   655,211 1,782,006   405,089   210,953 2,338,886 1,592,214   672,759
99996   2021-06 2,431,828   469,193   239,936 2,792,029 1,616,347   729,791 2,420,965   446,451   226,101 2,766,828 1,585,600   722,223
99996   2021-05 1,778,914   415,012   200,411 2,363,698 1,520,757   649,600 1,872,270   377,194   183,101 2,366,054 1,494,492   665,204
99996   2021-04 1,909,671   439,931   210,528 2,288,636 1,661,285   680,972 1,860,099   393,144   200,380 2,301,688 1,624,228   710,622
99996   2021-03 2,647,621   441,854   295,533 3,086,996 1,659,322   956,666 2,528,748   428,062   252,390 3,055,119 1,596,238   965,497
99996   2021-02 2,192,784   376,214   236,124 2,337,447 1,398,621   773,268 2,258,248   346,566   221,618 2,323,282 1,390,039   770,164
99996   2021-01 1,695,583   400,664   208,995 2,309,311 1,268,744   743,333 1,744,597   348,488   190,119 2,297,669 1,233,973   721,082
99996   2020-12 1,525,535   386,127   179,363 2,401,383 1,025,083   724,256 1,546,231   334,891   190,758 2,322,786 1,011,724   713,963
